Range,Count
2-469,147
469-937,17
937-1405,19
1405-1873,4
1873-2341,2
2341-2809,6
2809-3276,4
3276-3744,2
3744-4212,3
4212-4680,4
4680-5148,4
5148-5616,2
5616-6084,2
6084-6551,0
6551-7019,6
7019-7487,1
7487-7955,1
7955-8423,2
8423-8891,2
8891-9359,3
9359-9826,4
9826-10294,2
10294-10762,3
10762-11230,1
11230-11698,2
11698-12166,0
12166-12633,1
12633-13101,0
13101-13569,1
13569-14037,1
14037-14505,0
14505-14973,0
14973-15441,0
15441-15908,0
15908-16376,1
16376-16844,0
16844-17312,0
17312-17780,0
17780-18248,0
18248-18716,0
18716-19183,0
19183-19651,1
19651-20119,0
20119-20587,0
20587-21055,0
21055-21523,0
21523-21990,2
21990-22458,0
22458-22926,0
22926-23394,0
23394-23862,0
23862-24330,0
24330-24798,0
24798-25265,0
25265-25733,0
25733-26201,0
26201-26669,0
26669-27137,0
27137-27605,0
27605-28073,0
28073-28540,0
28540-29008,0
29008-29476,1
29476-29944,0
29944-30412,0
30412-30880,0
30880-31347,0
31347-31815,0
31815-32283,0
32283-32751,0
32751-33219,0
33219-33687,0
33687-34155,0
34155-34622,0
34622-35090,0
35090-35558,0
35558-36026,0
36026-36494,0
36494-36962,0
36962-37430,0
37430-37897,1
37897-38365,0
38365-38833,0
38833-39301,0
39301-39769,0
39769-40237,0
40237-40704,0
40704-41172,0
41172-41640,0
41640-42108,0
42108-42576,0
42576-43044,0
43044-43512,0
43512-43979,0
43979-44447,0
44447-44915,0
44915-45383,0
45383-45851,0
45851-46319,0
46319-46787,1
